,id,indexed_date,language,media_name,media_url,publish_date,headline,url,labels,entity_labels,lab,entities,lang,pal_ent,hamas_ent,isr_ent,other_ent,date,Lab_1,Label_1,scores_0,scores_1
0,26f4e25b757856939cbcd1fdcf7489f73fc5854c2265f92e17483df90dc8bc19,2025-01-20 13:19:35.988959,en,foxnews.com,foxnews.com,2025-01-19,"Israel, Hamas cease-fire deal could enable rearming of Gaza terrorists",https://www.foxnews.com/world/israel-hamas-cease-fire-deal-could-enable-rearming-gaza-terrorists-groups,1,1,11,"['Israel', 'Hamas', 'Gaza']",True,False,True,True,False,2025-01-19,0,O,0.9895578,0.010442244
1,54e17575db4d1e5781f4919a4ff8a1c83dc447ff6a48b6383e9cd0017b9daeb5,2025-01-20 17:50:43.644281,en,bbc.com,bbc.com,2025-01-19,Why World Bowls Tour reversed ban on Israel competitors,https://www.bbc.com/sport/bowls/articles/ce3llnv1l21o,1,1,11,"['World Bowls Tour', 'Israel']",True,False,False,True,False,2025-01-19,0,O,0.99817014,0.0018298912
2,9dbe037936926b96fe4c0192a81f2dacaa55f1cddc378dcd4a25f784507d838e,2025-01-19 10:27:02.771091,en,aljazeera.com,aljazeera.com,2025-01-19,Ceasefire in Gaza officially goes into effect,https://www.aljazeera.com/program/newsfeed/2025/1/19/ceasefire-in-gaza-officially-goes-into-effect?traffic_source=rss,1,1,11,"['Ceasefire', 'Gaza']",True,False,False,False,False,2025-01-19,0,O,0.99350435,0.0064956755
3,9114604199eed74078b84080481f164b0aac6cb3dcc937536a4759564f5dc417,2025-01-19 12:29:29.588273,en,aljazeera.com,aljazeera.com,2025-01-19,Video: Why was the start of the Gaza ceasefire delayed?,https://www.aljazeera.com/program/newsfeed/2025/1/19/video-why-was-the-start-of-the-gaza-ceasefire-delayed?traffic_source=rss,1,0,10,['Gaza'],True,False,False,False,False,2025-01-19,0,O,0.9962411,0.0037589695
4,de1548e75178874d8b7ad2b1d2b9625492975ef84b7c4ad04cdd020210aad20c,2025-01-19 14:28:07.641966,en,aljazeera.com,aljazeera.com,2025-01-19,The Palestinians killed waiting for the Gaza ceasefire to come into force,https://www.aljazeera.com/program/newsfeed/2025/1/19/the-palestinians-killed-waiting-for-the-gaza-ceasefire-to-come-into-force?traffic_source=rss,1,1,11,"['Palestinians', 'Gaza']",True,True,False,False,False,2025-01-19,0,O,0.99823403,0.0017659628
5,2e37cb1ca10f68d939ec0e4dae0ae15aff66c672bdd9c61361bc08f537fe0306,2025-01-19 16:24:47.703209,en,bbc.com,bbc.com,2025-01-19,'I just want to hug her': Family of British-Israeli hostage on news she will be released,https://www.bbc.com/news/articles/c93qknd2054o,1,1,11,['British'],True,False,False,True,True,2025-01-19,1,S,0.11452796,0.88547206
6,a8bca89b50d6af34d1cacb0e7513fec7efebfb666b73679a7e788ba74e595d69,2025-01-19 20:26:52.094796,en,bbc.com,bbc.com,2025-01-19,"Dramatic day ushers in a fragile Israel-Hamas ceasefire, ending 15 months of war",https://www.bbc.com/news/articles/cx25g41d8r8o,1,1,11,"['Israel', '15 months']",True,False,True,True,False,2025-01-19,0,O,0.98937464,0.010625296
7,8d2af2f1f0d032067c1041462764be0f53200fc33dc10f032469376127f56c97,2025-01-20 16:48:06.000117,en,bbc.co.uk,bbc.co.uk,2025-01-19,Gaza special: Three freed hostages back in Israel,https://www.bbc.co.uk/programmes/p0kkqq95,1,0,10,"['Gaza', 'Three', 'Israel']",True,False,False,True,False,2025-01-19,0,O,0.99757844,0.00242162
8,e3f715b4aaeb5a98f5905c144fef01e85b69ebcfbb16f49089ee7b90a4cd1f24,2025-01-19 16:24:09.132391,en,bbc.com,bbc.com,2025-01-19,Corbyn and McDonnell face police interview after pro-Palestinian rally,https://www.bbc.com/news/articles/clykrvp1g83o,1,1,11,"['Corbyn', 'McDonnell', 'pro-Palestinian']",True,True,False,False,False,2025-01-19,0,O,0.9914483,0.0085516935
9,63a2d860f31a175ae1f6f1982d53b528143d969daf7cbc94dc1c7ce0453de507,2025-01-19 11:27:12.885072,en,bbc.com,bbc.com,2025-01-19,Gaza ceasefire and hostage release deal takes effect after delay,https://www.bbc.com/news/articles/cvgpe1pmyq5o,1,0,10,['Gaza'],True,False,False,False,False,2025-01-19,0,O,0.99892116,0.0010788661
